Team 3309 Log File
Date: 03/12/2015
Time: 14:10:03

Timestamp,Heading,Pitch,Roll,LeftEncCount,RightEncCount,TotalCurrent,BatteryVoltage,Power

DISABLED
TELEOP STARTED
47:50.256,0.0,0.0,0.0,2712.0,2180.0,0.0,0.0,0.0
47:50.295,0.0,0.0,0.0,2758.0,2213.0,0.0,0.0,0.0
47:50.331,0.0,0.0,0.0,2802.0,2236.0,0.0,0.0,0.0
47:50.351,0.0,0.0,0.0,2826.0,2245.0,0.0,0.0,0.0
47:50.373,0.0,0.0,0.0,2848.0,2267.0,0.0,0.0,0.0
47:50.420,0.0,0.0,0.0,2871.0,2292.0,0.0,0.0,0.0
47:50.450,0.0,0.0,0.0,2940.0,2360.0,0.0,0.0,0.0
47:50.472,0.0,0.0,0.0,2963.0,2381.0,0.0,0.0,0.0
47:50.492,0.0,0.0,0.0,2985.0,2401.0,0.0,0.0,0.0
47:50.513,0.0,0.0,0.0,3010.0,2416.0,0.0,0.0,0.0
47:50.533,0.0,0.0,0.0,3033.0,2429.0,0.0,0.0,0.0
47:50.553,0.0,0.0,0.0,3057.0,2445.0,0.0,0.0,0.0
47:50.574,0.0,0.0,0.0,3080.0,2448.0,0.0,0.0,0.0
47:50.592,0.0,0.0,0.0,3101.0,2467.0,0.0,0.0,0.0
